,Visit,Values,Arm
4103,0m,50.7345621512828,AZM
4102,0m,44.5108667738417,AZM
4101,0m,30.3498864857097,AZM
4100,0m,25.4550739018185,AZM
4121,0m,36.7579338402379,AZM
4122,0m,50.2507097102536,AZM
4123,0m,35.9615466535299,AZM
4124,0m,43.1023999995075,AZM
4146,0m,36.9968270293558,AZM
4145,0m,59.9305839257452,AZM
4144,0m,44.309706217056,AZM
4143,0m,41.8428169222192,AZM
4142,0m,36.0091230967489,AZM
4141,0m,43.6656860170198,AZM
4140,0m,33.6359024062388,AZM
4139,0m,32.7809529406082,AZM
4138,0m,37.7987846570735,AZM
4137,0m,34.1365455990761,AZM
4148,0m,34.2009935227309,AZM
4136,0m,63.4786877724061,AZM
4134,0m,28.6576313858116,AZM
4133,0m,24.8240925802335,AZM
4132,0m,47.5795787904406,AZM
4131,0m,39.2315598567846,AZM
4130,0m,39.1059407743142,AZM
4129,0m,32.6037952880728,AZM
4128,0m,25.8549517196406,AZM
4127,0m,32.1480011912301,AZM
4126,0m,39.6274265793676,AZM
4125,0m,30.2604562629773,AZM
4135,0m,46.7211519697466,AZM
4199,0m,42.8174453147788,AZM
4200,0m,71.043056753225,AZM
4201,0m,52.6769958935097,AZM
4274,0m,38.3053710064257,AZM
4273,0m,60.215077714925,AZM
4272,0m,80.8387737212669,AZM
4271,0m,41.5140563030416,AZM
4270,0m,30.3357949696295,AZM
4269,0m,47.4495175576458,AZM
4268,0m,55.8612453446274,AZM
4267,0m,66.1904380860866,AZM
4266,0m,61.1044689538126,AZM
4265,0m,112.090118610695,AZM
4264,0m,94.9021400975993,AZM
4263,0m,37.7538507758296,AZM
4262,0m,45.7064262062648,AZM
4261,0m,55.1498788821376,AZM
4260,0m,51.3108611350991,AZM
4259,0m,106.473884168057,AZM
4258,0m,41.0012775605114,AZM
4257,0m,54.4463965914723,AZM
4256,0m,51.0753399868454,AZM
4255,0m,34.440277532847,AZM
4254,0m,60.0720842258748,AZM
4275,0m,54.8198026879668,AZM
4276,0m,25.4958589541395,AZM
4277,0m,50.186324645421,AZM
4278,0m,51.1601778909897,AZM
4300,0m,36.8699899796197,AZM
4299,0m,40.8259576553074,AZM
4298,0m,72.4622331257983,AZM
4297,0m,65.4485198878051,AZM
4296,0m,23.1092362223768,AZM
4295,0m,47.028985503801,AZM
4294,0m,51.2522499134637,AZM
4293,0m,16.9647318212346,AZM
4292,0m,61.8185681436035,AZM
4291,0m,54.3167211394896,AZM
4253,0m,52.1980603483473,AZM
4290,0m,18.6260598177483,AZM
4288,0m,39.1442475580208,AZM
4287,0m,39.4749802250333,AZM
4286,0m,54.7425227073142,AZM
4285,0m,40.6435860074299,AZM
4284,0m,37.8949147754238,AZM
4283,0m,18.1486922977987,AZM
4282,0m,31.1530838227178,AZM
4281,0m,53.5427946092638,AZM
4280,0m,59.0118663874393,AZM
4279,0m,44.7802957023463,AZM
4289,0m,34.3793238981314,AZM
4252,0m,70.2633922304334,AZM
4251,0m,43.8194561262355,AZM
4250,0m,51.4217242869706,AZM
4223,0m,60.9977262973364,AZM
4222,0m,48.5143436356087,AZM
4221,0m,47.0865023840296,AZM
4220,0m,58.3351016473031,AZM
4219,0m,52.7235876395843,AZM
4218,0m,49.5554955338508,AZM
4217,0m,62.8366650725797,AZM
4216,0m,38.9794109452246,AZM
4215,0m,43.9729154869866,AZM
4214,0m,53.1774343077415,AZM
4224,0m,48.3132093633333,AZM
4213,0m,57.5228132203516,AZM
4211,0m,39.2477132760794,AZM
4210,0m,50.6246760205979,AZM
4209,0m,55.2000818821818,AZM
4208,0m,54.8569373065199,AZM
4207,0m,42.4002154878322,AZM
4206,0m,64.435313499429,AZM
4205,0m,60.2758510212691,AZM
4204,0m,55.1718107837809,AZM
4203,0m,65.7910230626783,AZM
4202,0m,49.4115757696461,AZM
4212,0m,58.6679229860519,AZM
4505,0m,41.3224475188541,AZM
4225,0m,51.7785428695423,AZM
4227,0m,63.8145798705059,AZM
4249,0m,37.7937652000497,AZM
4248,0m,41.1804370118484,AZM
4247,0m,73.2206283878758,AZM
4246,0m,61.6868742178845,AZM
4245,0m,48.8693218075116,AZM
4244,0m,36.1970028183561,AZM
4243,0m,60.6342122771378,AZM
4242,0m,34.3069702192273,AZM
4241,0m,49.3780865759601,AZM
4240,0m,42.0491971018438,AZM
4226,0m,45.7967379367799,AZM
4239,0m,42.9157616800478,AZM
4237,0m,55.8038064949943,AZM
4236,0m,44.9760379961423,AZM
4235,0m,45.6301534117379,AZM
4234,0m,38.4924174907727,AZM
4233,0m,36.4727701178598,AZM
4232,0m,39.5587580899838,AZM
4231,0m,42.3691019839631,AZM
4230,0m,39.563741323298,AZM
4229,0m,34.0283697634226,AZM
4228,0m,50.3971910925,AZM
4238,0m,39.3118986205086,AZM
4506,0m,56.2772927363536,AZM
4507,0m,36.0627968775636,AZM
4508,0m,30.3505484543125,AZM
4785,0m,31.5144826322548,AZM
4784,0m,41.8196301760778,AZM
4783,0m,33.2857328169511,AZM
4782,0m,42.0569326558106,AZM
4781,0m,22.2063018545412,AZM
4780,0m,42.587413955149,AZM
4779,0m,36.5810904493177,AZM
4778,0m,25.261817628276,AZM
4777,0m,16.7500581899967,AZM
4776,0m,33.0183288386943,AZM
4775,0m,35.5699022150137,AZM
4774,0m,38.3531270116805,AZM
4773,0m,71.8726659051255,AZM
4772,0m,61.4902664396993,AZM
4771,0m,20.5861227831167,AZM
4770,0m,47.2230769061759,AZM
4769,0m,49.0917699252281,AZM
4768,0m,21.1332382732133,AZM
4767,0m,56.322026693548,AZM
4766,0m,48.505404683657,AZM
4765,0m,22.447299388882,AZM
4786,0m,36.4634271291739,AZM
4787,0m,32.1809025166075,AZM
4788,0m,33.5383786248744,AZM
4789,0m,44.5938255014433,AZM
4811,0m,29.7433417715649,AZM
4810,0m,41.25152820719,AZM
4809,0m,34.7042707142946,AZM
4808,0m,36.4888318040026,AZM
4807,0m,33.1078693524245,AZM
4806,0m,16.6685676124974,AZM
4805,0m,35.346427497412,AZM
4804,0m,40.5442854918734,AZM
4803,0m,59.8836503413815,AZM
4802,0m,38.4221429815869,AZM
4764,0m,31.8710360331565,AZM
4801,0m,35.5117971929032,AZM
4799,0m,45.0253416521819,AZM
4798,0m,35.8034178001678,AZM
4797,0m,29.5326545154516,AZM
4796,0m,33.2935005992757,AZM
4795,0m,43.596728350094,AZM
4794,0m,61.8466607011429,AZM
4793,0m,52.0302225974713,AZM
4792,0m,31.3320383240437,AZM
4791,0m,17.6003062459679,AZM
4790,0m,52.9827731954503,AZM
4800,0m,38.20676880073,AZM
4812,0m,28.7994316746625,AZM
4763,0m,35.6471507046602,AZM
4761,0m,54.6208509835521,AZM
4734,0m,85.1207466724099,AZM
4733,0m,40.2491888221085,AZM
