,Group,Values
12062,AZM,0.420904512688852
12063,AZM,0.87536684358414
12064,AZM,0.673107617074744
12065,AZM,0.432726661342524
12066,AZM,0.493075014010087
12067,AZM,0.324966198342249
12068,AZM,0.623732590529248
12069,AZM,0.280192319858291
12070,AZM,0.240812678332016
12071,AZM,0.260103837931386
12072,AZM,0.497879182722963
12073,AZM,0.195475480899485
12074,AZM,0.259207098091684
12075,AZM,0.297008043617272
12076,AZM,0.340323651742337
12090,AZM,0.508498092265002
12089,AZM,0.602172691515265
12088,AZM,0.60683418092542
12087,AZM,0.357044198895028
12086,AZM,0.652605459057072
12085,AZM,0.664938815119885
12125,AZM,0.442745583663979
12084,AZM,0.342419794506186
12082,AZM,0.489244371524929
12081,AZM,0.407752195716621
12080,AZM,0.529769407577667
12079,AZM,0.359134920415989
12078,AZM,0.584587928430879
12077,AZM,0.365903307888041
12083,AZM,0.505775463283566
12059,AZM,0.383004305162316
12126,AZM,0.573271251494369
12128,AZM,0.505509569251859
12164,AZM,0.390422098876985
12165,AZM,0.335599119062508
12166,AZM,0.473400627472378
12167,AZM,0.324566112005726
12168,AZM,0.53082356168141
12169,AZM,0.334632140054658
12170,AZM,0.549667512168369
12171,AZM,0.675056953936767
12172,AZM,0.51055999094049
12173,AZM,0.688086356957161
12174,AZM,0.666872823150288
12175,AZM,0.412124886329191
12176,AZM,0.406902333379908
12177,AZM,0.64176515233655
12163,AZM,0.34924877868928
12178,AZM,0.496720672173574
12180,AZM,0.918705957719411
12181,AZM,0.416969790779867
12182,AZM,0.43142793428975
12183,AZM,0.633652418412157
12184,AZM,0.661155627683673
12185,AZM,0.528320522179757
12186,AZM,0.891381643120103
12187,AZM,0.658871681945475
12188,AZM,0.50974285257946
12189,AZM,0.334287666330481
12190,AZM,0.628834568243197
12191,AZM,0.34944303351857
12192,AZM,0.97047074238599
12193,AZM,0.794412707259301
12179,AZM,0.888244172396445
12162,AZM,0.502219777629356
12161,AZM,0.500852906442724
12160,AZM,0.477236750459064
12129,AZM,0.466
12130,AZM,0.532955329553295
12131,AZM,0.553002640301107
12132,AZM,0.393338021199573
12133,AZM,0.443743601598362
12134,AZM,0.510496771472144
12135,AZM,0.820334906096771
12136,AZM,0.852210924568456
12137,AZM,0.34419335347432
12138,AZM,0.453621519073108
12139,AZM,0.406391361447541
12140,AZM,0.635527664730187
12141,AZM,0.528476002934476
12142,AZM,0.852411827988253
12143,AZM,0.419431866819851
12144,AZM,0.549681805033266
12145,AZM,0.531919997601128
