,Group,Values
11900,AZM,44.7094230900346
11886,AZM,41.1223107393491
11901,AZM,31.6304009668199
11903,AZM,35.3870138055601
11904,AZM,46.5251504487219
11905,AZM,36.9340973747641
11906,AZM,30.0827413950479
11907,AZM,32.8695859261858
11908,AZM,55.1621916645014
11909,AZM,45.5791372811594
11910,AZM,37.7051542642686
11911,AZM,40.7251027158043
11912,AZM,42.0481278262373
11913,AZM,30.0911650538144
11914,AZM,38.7210113908273
11915,AZM,32.7185669202393
11916,AZM,47.0418378879935
11902,AZM,33.1007971006947
11885,AZM,35.8699952989501
11884,AZM,46.4515048001995
11883,AZM,29.2285814943446
11852,AZM,36.1461431621024
11853,AZM,26.174413541679
11854,AZM,26.6660153428095
11855,AZM,28.733278033901
11856,AZM,39.088566016155
11857,AZM,46.9675151652935
11858,AZM,29.4162728455624
11859,AZM,36.2927081152414
11860,AZM,50.2392861451435
11861,AZM,32.5667699126883
11862,AZM,39.4096746952549
11863,AZM,51.7122748759323
11864,AZM,43.0212446636811
11865,AZM,25.9401659041875
11866,AZM,43.441247864886
11867,AZM,33.8242837435634
11868,AZM,32.9911264354727
11882,AZM,46.2985211735609
11881,AZM,36.5712870701253
11880,AZM,54.3643362307165
11879,AZM,34.124382252191
11878,AZM,40.5905397271345
11877,AZM,28.8971400427613
11850,AZM,43.2249683365432
11876,AZM,26.1082597143475
11874,AZM,40.7653509575481
11873,AZM,29.3978282102603
11872,AZM,40.7798614179066
11871,AZM,38.7838194536767
11870,AZM,41.2634523390131
11869,AZM,33.4850633322162
11875,AZM,32.5883053453211
11781,AZM,30.2618981046863
11780,AZM,30.9050492257171
11779,AZM,38.553383645188
11679,AZM,28.4897545622923
11680,AZM,50.1533517383446
11681,AZM,30.8171668521102
11682,AZM,34.0063585496026
11683,AZM,25.0659186329813
11684,AZM,33.5456310084287
11685,AZM,22.0439141234901
11686,AZM,29.2661957992558
11687,AZM,39.6972401428914
11688,AZM,33.9184130524749
11689,AZM,29.3333720848864
11690,AZM,60.7970678372408
11691,AZM,33.4092469205999
11692,AZM,35.2605604108044
11678,AZM,24.8404750975089
11693,AZM,44.0477691924428
11695,AZM,19.8911681054739
11696,AZM,47.5441778189648
11697,AZM,30.3686913027305
11698,AZM,28.4223083322094
11699,AZM,23.7864200222534
11700,AZM,46.088006336135
11701,AZM,33.0283693753289
11702,AZM,35.0839956626532
11703,AZM,44.0163683879957
11704,AZM,40.0562621432308
11705,AZM,38.8159081384349
11706,AZM,35.311586139832
11707,AZM,43.8486863186742
11708,AZM,37.7518924057505
11694,AZM,46.4181171297375
11677,AZM,42.6972844877402
11676,AZM,35.5109492946218
11675,AZM,35.3717809642698
11644,AZM,34.7135015338755
11645,AZM,45.947313179053
11646,AZM,35.8906768975316
11647,AZM,39.3060633618886
11648,AZM,29.7880948654278
11649,AZM,44.7087476543666
11650,AZM,43.2345195586005
11651,AZM,29.4009887116556
11652,AZM,41.6557594220357
11653,AZM,42.1777379631755
11654,AZM,40.5114176193947
11655,AZM,54.8565213050692
11656,AZM,47.3634877925433
11657,AZM,45.8528026143817
11658,AZM,32.7948042728632
11659,AZM,71.287000391514
11660,AZM,50.4485672352296
11674,AZM,29.4039681892494
11673,AZM,41.2835116606735
11672,AZM,39.584063054646
11671,AZM,33.48481860012
11670,AZM,41.3786875926437
11669,AZM,58.5747404124388
11709,AZM,38.4799872631442
11668,AZM,44.765156614857
11666,AZM,37.6125390205428
11665,AZM,47.5612499369245
11664,AZM,36.7194501148016
11663,AZM,56.9842389731008
11662,AZM,35.0236238882862
11661,AZM,57.119044123392
11667,AZM,50.5483785930912
11710,AZM,42.6430224812022
11711,AZM,36.1466481338216
11712,AZM,45.967205343372
11748,AZM,34.8348060571283
11749,AZM,36.6323856271928
11750,AZM,44.7590763167038
11751,AZM,56.5130576458389
11752,AZM,58.1525222121428
11753,AZM,41.7451674805335
11754,AZM,45.0094182282338
11755,AZM,56.0966860914945
11756,AZM,49.8112831026711
11757,AZM,54.522783756377
11758,AZM,50.9847886131382
11759,AZM,54.0617356562699
11760,AZM,41.1658467149177
11761,AZM,44.8116946308287
11762,AZM,44.1475353724712
11763,AZM,50.1270938780689
11764,AZM,48.3323649301863
11778,AZM,35.0316058883181
11777,AZM,26.3393871579888
11776,AZM,40.4361301194497
11775,AZM,29.7629975066001
11774,AZM,34.3569148576289
11773,AZM,32.1081349488112
11747,AZM,44.2983774350074
11772,AZM,45.3997511423245
11770,AZM,29.5483175973348
11769,AZM,38.2652974593644
11768,AZM,41.8136251824743
11767,AZM,36.827719084153
11766,AZM,51.0275039416803
11765,AZM,52.8388807470674
11771,AZM,31.4547903803159
11917,AZM,39.1764124399897
11746,AZM,43.0360537326401
11744,AZM,40.0754502829442
11713,AZM,33.6164179640241
11714,AZM,39.9393882850755
11715,AZM,37.5652413441817
11716,AZM,39.1912287923486
11717,AZM,37.8605839763545
11718,AZM,46.3623509355448
11719,AZM,47.3942678243094
11720,AZM,44.2775011208361
11721,AZM,40.1391380121855
11722,AZM,61.0225390029388
11723,AZM,48.2211772910372
11724,AZM,46.8232655847501
