"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"27","Dolosigranulum",2.28099513101695,1.34917053407263e-07,0.00144269452103947,0.734251023972493,0.98032521778069
"28","Corynebacterium",21.683768875735,2.00588090868384,0.598494678531766,0.0732023735508869,0.331002036925749
"29","Streptobacillus",12.5150925128115,-1.57544708369623e-06,0.00144269204637144,0.330858519540642,0.764650800716151
"30","Oribacterium",17.5737722988486,0.839809538069882,0.461775550977107,0.00145740814871768,0.0151570447466638
"31","ASV_112",14.9017225404378,-4.65550840044922e-07,0.00144269485471193,0.0542072581887322,0.268454992934674
"32","Stomatobaculum",15.1349048547048,-1.81239176953082e-06,0.00144268729673163,0.553830769659408,0.947813823519347
"33","Lachnoanaerobaculum",15.9702185847139,-2.59483645086867e-07,0.00144267791897195,0.955924185867593,0.999177050006185
"34","ASV_120",1.72729880935851,3.42966448477975e-08,0.0014426948586747,0.797973254077746,0.98032521778069
"35","ASV_126",0.10308769023663,3.56050402902702e-07,0.00144269505660965,0.877491025584449,NA
"36","Mannheimia",9.69845757642799,1.36829093469598e-07,0.00144269352907318,0.577026432058382,0.947813823519347
"37","TM7x",8.27420824412769,4.59204665639467e-06,0.00144269267999115,0.0313458474673284,0.181109340922342
"38","Tropheryma",0.77544423801276,1.71309354287824e-07,0.00144269482072372,0.472364953976141,0.909739911361456
"39","Solobacterium",4.6796545729339,-3.57919474904647e-06,0.00144268922330273,0.149989526196114,0.509908697300324
"40","Peptostreptococcus",5.68264458330719,2.4813305760346e-06,0.0014426875095596,0.297969811465703,0.704292281646206
"41","Abiotrophia",8.80504932748202,1.74494672136634e-06,0.00144269193138262,0.283893969254892,0.692216215076807
"42","Oceanivirga",1.06420688370335,4.55387607080086e-07,0.00144269465169489,0.119028481497754,0.470178554665521
"43","ASV_157",4.27160724991743,-2.24525471413357e-06,0.00144269549736707,0.00177848228368052,0.0168147415911613
"44","ASV_163",1.44458024233964,9.08123224722502e-07,0.00144269462329081,0.550156616762188,0.947813823519347
"45","ASV_180",3.95717958153428,1.15640591114791e-06,0.00144269461519558,0.014953468924948,0.0971975480121621
"46","ASV_182",2.05518175169707,-5.45292708846434e-08,0.00144269443143527,0.83688904342528,0.98032521778069
"47","ASV_187",1.30213085527947,-2.05554971188267e-06,0.00144269538457436,0.0105900254933219,0.0734241767536987
"48","Treponema",6.07205780704831,-4.09607705129117,0.713222699711902,4.69364511141387e-10,4.88139091587043e-08
"49","Eikenella",2.49618666155218,4.62563513925225e-07,0.00144269444834026,0.231041060316929,0.655520133934034
"50","ASV_203",0.421690791924976,-7.05146717551731e-08,0.00144269486797645,0.848017661122709,0.98032521778069
