"","average","sd","ratio","ava","avb","cumsum","p"
"Aggregatibacter",0.00543159147575434,0.00919914871224465,0.590445012430829,0.00975716107961459,0.00391487337359622,0.900592110566299,0.0099009900990099
"Gemella",0.0051037987536028,0.00541549894786672,0.942442940666305,0.0101978063826707,0.012902718577782,0.910716418943145,0.0396039603960396
"Actinomyces",0.00502109160050544,0.00625034220248547,0.803330671800464,0.0060530293918793,0.0106975701583735,0.920676662715693,0.0099009900990099
"ASV_52",0.0023997348451839,0.00577272233496941,0.415702454740813,0.00295702819481389,0.00303470707764335,0.925436971020983,0.95049504950495
"ASV_62",0.00231276827672393,0.0061811357612065,0.374165584784454,0.00289224226830047,0.00227596597821259,0.930024765400848,0.0297029702970297
"Campylobacter",0.00229462966475541,0.00283749355013155,0.808681896263352,0.00331233960209298,0.00400861453274726,0.934576578561632,0.504950495049505
"Corynebacterium",0.00224436468280531,0.00669298331154706,0.3353309844555,0.00140899005843477,0.00358278862026205,0.939028682035106,0.099009900990099
"ASV_68",0.0017502078103146,0.00320220656443203,0.546563057410081,0.0020858061149292,0.0018798157360171,0.942500535932692,0.99009900990099
"Bergeyella",0.00170351595052872,0.00342855985619102,0.496860495946321,0.00231452737605333,0.00180621481782302,0.945879768077347,0.643564356435644
"Pseudomonas",0.00145874125833526,0.016017622745317,0.091071021057837,1.91949362821749e-05,0.00289908955854188,0.948773445327256,0.336633663366337
"Oribacterium",0.00130071782387967,0.00211143467058664,0.61603507889651,0.000993230729825147,0.00235629988722226,0.951353654500066,0.0099009900990099
"ASV_77",0.00119948508058995,0.00113658099282997,1.05534501118425,0.00145363349182348,0.002185004259623,0.953733050208164,0.0198019801980198
"Stomatobaculum",0.00108065696280977,0.00153595458777601,0.703573511489362,0.00147840073345687,0.00131345184571817,0.955876728842308,0.198019801980198
"Lachnoanaerobaculum",0.00102038783367072,0.00146369827392581,0.697129901597767,0.00152092029946515,0.0014937937397109,0.95790085275291,0.712871287128713
"Streptobacillus",0.000941182305775983,0.00181980240372019,0.517189285964201,0.00126574382803598,0.000826695104471321,0.959767858166433,0.0099009900990099
"Enterococcus",0.000897060040408531,0.00827103568818187,0.108458006255529,0.00132659632929428,0.000474017136960597,0.961547339082531,0.811881188118812
"Atopobium",0.000892909271614569,0.00683517088917337,0.130634520495881,0.00136139070132204,0.000531318536831492,0.963318586197631,0.0099009900990099
"Mannheimia",0.000854972258002771,0.00275375253851721,0.3104753408464,0.000910008002654687,0.000923050603518837,0.965014578381405,0.168316831683168
"ASV_120",0.000775298817537607,0.00400925447416585,0.19337730307052,0.000771801049494655,0.000808374081911689,0.966552523878848,0.405940594059406
"Dolosigranulum",0.000704557501406825,0.0049777176425524,0.141542279414136,0.00084503036139963,0.00057940440456488,0.967950141174872,0.633663366336634
"TM7x",0.000694635385402855,0.00186715528762146,0.372028716630066,0.000548431539914609,0.00113263312326236,0.969328076158363,0.0396039603960396
"Oceanivirga",0.000683089946823653,0.00480338936125725,0.142209988707819,0.000245870099211652,0.00112826554018439,0.970683108675248,0.207920792079208
"Escherichia/Shigella",0.000648173421814662,0.00773603782545117,0.0837862270634464,0.00129109985097187,5.3947952675196e-06,0.971968877946518,1
"ASV_112",0.000636025624206887,0.00187892779977992,0.33850455790871,0.000802823149968355,0.000526506550470661,0.973230549863049,0.267326732673267
"Abiotrophia",0.000561534869625742,0.00092814549367297,0.605007375948752,0.000493207972780115,0.000848692054011108,0.974344455888522,0.138613861386139
"Treponema",0.000539802264944927,0.00153486616167614,0.351693377848294,0.00106338232780235,3.99409460667947e-05,0.975415251360026,0.0099009900990099
"Capnocytophaga",0.000452775131469304,0.000860971317995792,0.525888751466534,0.000372023513139529,0.000698322799756676,0.976313412764436,0.0297029702970297
"Candidatus_Saccharimonas",0.000438251614263239,0.0012705415675181,0.344932921100195,0.00018071662460959,0.000779320982248989,0.97718276414439,0.0099009900990099
"Conchiformibius",0.000430277673291096,0.00096147647053005,0.4475176319748,0.00040653288634645,0.000536601539861925,0.978036297769515,0.306930693069307
"ASV_163",0.000426374587829194,0.00180320128067679,0.236454239689296,0.00018617373962703,0.000685195531638751,0.97888208891835,0.0693069306930693
"ASV_180",0.00039625673345082,0.000981345516627045,0.403789212603511,0.000149497131577961,0.000678017375253495,0.979668135853101,0.0099009900990099
"Catonella",0.000385444287918112,0.000837880371121393,0.460023054845223,0.000352709099819836,0.000540526018817982,0.980432734345591,0.405940594059406
"Peptostreptococcus",0.000382953621956786,0.000609254195935331,0.628561320564847,0.000495582577340929,0.000509892309661154,0.981192392151453,0.376237623762376
"ASV_157",0.00038235535048685,0.00125654423774258,0.304291197239313,0.000720864753658357,6.19819683056452e-05,0.981950863177595,0.0099009900990099
"F0058",0.000371378627542196,0.000909955577423425,0.408128305113278,8.20857965649563e-05,0.000708579578308729,0.982687559887502,0.0099009900990099
"Solobacterium",0.000343645436962167,0.000457813080433838,0.750623893569222,0.000576911527201003,0.000308976112418416,0.983369242795482,0.0099009900990099
"ASV_182",0.000335577679746046,0.00112838525833248,0.297396369961409,0.000311430165643444,0.000389758568995428,0.984034921847136,0.940594059405941
"Eikenella",0.000311215125314804,0.000864114942570753,0.360154778007813,0.000225769301265604,0.000427915152114499,0.984652273363593,0.168316831683168
"Mycoplasma",0.000307970245072764,0.000921534244979315,0.334192946980149,0.000268342017247072,0.000387685415563622,0.985263188072918,0.207920792079208
"Kingella",0.00028830665616978,0.000725459316365541,0.397412576647522,0.00032046992912084,0.000301728576616655,0.985835096495463,0.96039603960396
"Selenomonas",0.000275714762286689,0.000759519059695902,0.363012302017912,0.00031799163099166,0.000288433371234891,0.986382026617946,0.683168316831683
"Tannerella",0.00023303545286324,0.00047197774385793,0.493742461155935,0.000190044262386955,0.000332174407484264,0.986844294607228,0.237623762376238
"Cardiobacterium",0.000229828111401373,0.000578526835381321,0.397264391806281,0.000206431754889769,0.00029850605149325,0.987300200254341,0.534653465346535
"Leuconostoc",0.000226664898879265,0.00264597583133883,0.0856640095478784,0.000439504969452229,1.40168398105547e-05,0.987749831097023,1
"Psychrobacter",0.000222484798488258,0.00184458160028092,0.120615319189118,0,0.000444969596976517,0.988191169954176,0.0792079207920792
"Lactobacillus",0.000218705568892841,0.00224120836248668,0.0975837733579493,0.000387169717525162,5.19044273016581e-05,0.988625012025563,1
"ASV_260",0.000204678999282051,0.00110199482480986,0.185734991375632,0.000113525839440248,0.000303739302652918,0.989031029857973,0.574257425742574
"Shuttleworthia",0.000193915310203725,0.000902276735752184,0.214917776908065,4.789289415586e-05,0.000343655209546589,0.989415695965372,0.0495049504950495
"ASV_205",0.000186897207669249,0.000457660637674281,0.408375097799571,0.000332472241512495,5.57574280213049e-05,0.989786440396445,0.0099009900990099
"Mogibacterium",0.000177950091608052,0.000280329476583481,0.634789083819588,0.000146558832879072,0.000267196775316346,0.9901394366038,0.0297029702970297
"ASV_187",0.000172354130774421,0.000626452698194764,0.27512712655096,0.000334334579481417,1.48414958289391e-05,0.990481332210235,0.0099009900990099
"ASV_203",0.000170920873867546,0.000729329413082142,0.234353463334538,0.000149729604963627,0.000200267418236225,0.990820384692242,0.98019801980198
"ASV_209",0.000166692686423205,0.000325064794327725,0.512798338460328,0.000318542387709735,2.99163878667186e-05,0.991151049799349,0.0099009900990099
"ASV_216",0.000162440955492969,0.000580890726554345,0.279641158082374,0.000228365164010783,0.00010980525192639,0.991473280828792,0.287128712871287
"ASV_214",0.000155505758670951,0.000853295206219188,0.182241453529279,0.000266186350681749,4.74237270462485e-05,0.991781754640391,0.247524752475248
"ASV_239",0.000143169047481544,0.000444363061930336,0.322189353137523,0.000162579815951837,0.000137770001031484,0.992065756352978,0.900990099009901
"ASV_280",0.000131996821242133,0.000716319365198404,0.184270909953095,0.000263993642484266,0,0.992327595933168,0.0099009900990099
"ASV_331",0.000130514244807429,0.00032122673904598,0.406299441930167,5.32689531679207e-05,0.000223160502414199,0.992586494554723,0.0099009900990099
"Tropheryma",0.000127378804547586,0.000639555709716295,0.199167644995447,0.000107638059881174,0.000151793659827267,0.992839173463155,0.920792079207921
"ASV_329",0.00012288772120693,0.000739020349085453,0.166284624447764,0.000160249688844022,8.82634457443237e-05,0.993082943495104,0.752475247524752
"Hydrogenophaga",0.000114142927794622,0.00097400329724085,0.117189467548996,0.000163191933856133,6.63017312958177e-05,0.99330936664692,0.128712871287129
"ASV_286",0.000111873665477715,0.000755949589138082,0.147990907178441,3.43013114778027e-05,0.000190665482681068,0.993531288306301,0.287128712871287
"Carnobacterium",0.000109427394592813,0.000970828533915063,0.112715470106266,0,0.000218854789185627,0.993748357344721,0.465346534653465
"Peptoanaerobacter",0.000107273210452451,0.000606423960806835,0.176894742598439,0.000212514949641647,2.45509829804402e-06,0.993961153169092,0.0099009900990099
"Comamonas",0.00010608355834074,0.000379843161279955,0.27928252803939,0.000187850762251303,2.94294001555985e-05,0.994171589103227,0.0099009900990099
"ASV_283",0.000102373718178904,0.000344721163799694,0.296975436757316,0.00011734180965852,9.54517182615755e-05,0.994374665898094,1
"Staphylococcus",0.000100210299521462,0.000836323898822511,0.119822355504311,0.00011717942726957,8.43972991590955e-05,0.994573451160576,1
"ASV_428",9.68938861565499e-05,0.00111777154302817,0.0866848747053025,8.32723224783975e-06,0.000185574611739888,0.994765657717033,1
"ASV_269",9.68927788833306e-05,0.00111932624070015,0.0865634837817464,0.000193785557766661,0,0.994957862077014,0.445544554455446
"ASV_383",9.61572270665404e-05,0.000360506696862633,0.266727991195071,0.000174465405548595,2.0639048705548e-05,0.995148607336865,0.0099009900990099
"ASV_761",8.66113068818039e-05,0.000955945642852695,0.090602752917354,0.000158586935717606,1.48389513521964e-05,0.995320416536664,1
"Parvimonas",8.53695016816064e-05,0.000214469102113484,0.398050352429946,6.11142992692377e-05,0.00011971819702411,0.99548976239114,0.0594059405940594
"Butyrivibrio",8.43227718952077e-05,0.000257530986688863,0.327427673769924,5.88768069609763e-05,0.000119335022646845,0.995657031867676,0.316831683168317
"ASV_339",8.1109803280279e-05,0.000492047122490892,0.164841535643327,1.39732110507601e-05,0.000149412197685475,0.995817927839566,0.0495049504950495
"Filifactor",8.04683637433281e-05,0.000400465824273529,0.200936906137504,0.000149535972311214,1.30094751620887e-05,0.995977551400065,0.0099009900990099
"Anaeroglobus",7.53067658996329e-05,0.000570115035469591,0.132090475104914,0.000117336691984643,3.4510227640226e-05,0.996126935997232,0.712871287128713
"ASV_409",7.43480697779492e-05,0.000260270964333853,0.285656411840785,6.18150959187361e-05,9.21662356406531e-05,0.996274418847163,0.653465346534653
"Peptococcus",7.26088649764132e-05,0.000149849577667449,0.484545009112733,0.000119976920984471,3.63017639865052e-05,0.996418451669655,0.0099009900990099
"F0332",7.16298512029069e-05,0.000257329578261157,0.278358405928026,8.60770320142578e-05,6.26196043242947e-05,0.996560542441172,0.574257425742574
"Dialister",6.98240239701648e-05,0.000252154760001292,0.276909402661314,9.17102793866428e-05,5.24929152354604e-05,0.996699051027602,0.514851485148515
"Lentimicrobium",6.8363375618315e-05,0.000356725458253273,0.191641426303186,0.000133802068482306,3.61867527229889e-06,0.996834662153718,0.0099009900990099
"ASV_242",6.64574800768259e-05,0.000475421684302076,0.139786388108036,0.000132914960153652,0,0.996966492591148,0.0594059405940594
"ASV_767",6.58395596449721e-05,0.000413018871118404,0.159410536052957,2.70528131877511e-05,0.000105665475295801,0.997097097271588,0.356435643564356
"Alloscardovia",6.41430815276642e-05,0.000608875127491018,0.105346857888542,0.000117877992856727,1.07013580915198e-05,0.997224336680698,0.455445544554455
"ASV_653",6.1784678854149e-05,0.000543479030452297,0.113683648111925,3.33013095253385e-05,9.08431484188048e-05,0.997346897771345,1
"Acinetobacter",6.10290156330316e-05,0.000344231884643716,0.177290420659892,1.89100531342371e-05,0.000104278813168986,0.997467959867253,0.198019801980198
"ASV_540",5.96012895373523e-05,0.000348794315065885,0.170878041765371,7.58778145516885e-06,0.00011267853013859,0.997586189810099,0.0099009900990099
"ASV_126",5.91032314313466e-05,0.000642587261990056,0.0919769732881216,0,0.000118206462862693,0.997703431764566,0.306930693069307
"Alysiella",5.8327314381344e-05,0.000318609920205493,0.183068105173012,6.40140406328336e-05,5.44644492121725e-05,0.99781913454716,1
"ASV_307",5.58559296192634e-05,0.000226066732261085,0.247077175224328,7.1527453572605e-05,4.30253853138856e-05,0.997929934890873,0.455445544554455
"Johnsonella",5.40474952571747e-05,0.000164863982611255,0.327830823938163,5.9699209424897e-05,5.38158264428864e-05,0.998037147877786,0.346534653465347
"Centipeda",4.34947429307482e-05,0.000226268642419435,0.192226118766036,3.91921569967817e-05,4.93284040879521e-05,0.998123427570905,0.98019801980198
"ASV_586",4.11893046246013e-05,0.000452027689429999,0.091121198076473,7.47856631209693e-05,7.69840371334767e-06,0.998205134009968,1
"Rodentibacter",3.91412312850595e-05,0.000183352121009524,0.213475748573568,4.79148768973932e-05,3.1836104547614e-05,0.998282777724955,0.564356435643564
"ASV_689",3.69842754236943e-05,0.00022120458090883,0.167194889327077,9.01937723004102e-06,6.53862609592607e-05,0.998356142727684,0.198019801980198
"ASV_591",3.40566934023228e-05,0.000292579270229103,0.116401593918991,2.94946581896834e-05,3.90227650285194e-05,0.998423700341717,1
"ASV_472",3.33085640305072e-05,0.000167939542820188,0.198336636334484,3.21245754588964e-05,3.56329973509113e-05,0.998489773905765,1
