"","average","sd","ratio","ava","avb","cumsum","p"
"ASV_163",0.000388968536112835,0.00167952962695003,0.231593733073462,8.4554750403454e-05,0.000706519743175506,0.981037240643427,0.415841584158416
"Eikenella",0.000382748941949877,0.00120438675624577,0.317795708035645,0.000391998229029922,0.000406054166639127,0.981746253113514,0.158415841584158
"Capnocytophaga",0.000371870946576837,0.000810851833049125,0.458617630767948,0.000163013965538543,0.000673461711347332,0.982435114948227,0.0099009900990099
"F0058",0.000369317373302698,0.000900426178992644,0.410158413781209,0.00011574027853261,0.000671874707849383,0.983119246488232,0.0099009900990099
"Conchiformibius",0.000366854805508098,0.000765081334290929,0.479497785484592,0.000301788359552486,0.000508824594990303,0.983798816314059,0.683168316831683
"ASV_182",0.000366129566857297,0.00133785810314543,0.273668460053044,0.000386882473042996,0.000373003214499504,0.984477042692026,0.623762376237624
"ASV_242",0.000362214590357352,0.00415241150776667,0.0872299360696467,0.000724429180714704,0,0.985148016882321,0.0594059405940594
"Dolosigranulum",0.000348933072752867,0.00202241858689891,0.172532568190004,0.000160408107515587,0.00054949831179714,0.98579438810035,0.900990099009901
"Solobacterium",0.000328789563197751,0.000502632333727731,0.654135321457158,0.000522436898434015,0.000312419193119634,0.986403445042883,0.0495049504950495
"Mycoplasma",0.00032477644804,0.000838323827030759,0.387411686949563,0.000330599204003656,0.000367749999717859,0.987005068003558,0.871287128712871
"ASV_157",0.000274437905858217,0.00172107519360104,0.159457243285231,0.00049793161455838,5.87621257962611e-05,0.987513442753144,0.0297029702970297
"Parvimonas",0.000267082818990774,0.00163978196552312,0.162877031584848,0.00044232709945164,0.000113499069905974,0.988008192779743,0.0495049504950495
"Selenomonas",0.000262212929950859,0.00071180315676106,0.368378430834748,0.000301453033095752,0.000275889199686222,0.988493921717898,0.524752475247525
"ASV_286",0.000255084470581268,0.0018136029181571,0.140650672772667,0.00033378232536204,0.000180768231057676,0.988966445742775,0.366336633663366
"Cardiobacterium",0.000247340176318253,0.000856952397491062,0.288627672951733,0.000221012143539501,0.00030899485382505,0.989424624068415,0.227722772277228
"ASV_214",0.000243184885921442,0.00110885588774632,0.219311534175736,0.000446502422310409,4.49601568100798e-05,0.98987510504369,0.0099009900990099
"Enterococcus",0.000224696435052751,0.00222845347675553,0.100830660095221,0,0.000449392870105501,0.990291337610199,1
"ASV_187",0.000224406623675925,0.00137642021129431,0.163036420007888,0.000436742371838212,1.40705090326305e-05,0.990707033323807,0.0099009900990099
"Tannerella",0.00021949373159162,0.000509046882080868,0.431185690980719,0.000167151329536128,0.00031491919481617,0.991113628289195,0.287128712871287
"Psychrobacter",0.000210927146618738,0.00179670677805621,0.117396533031913,0,0.000421854293237477,0.991504354326139,0.792079207920792
"Mogibacterium",0.000208865934885883,0.00038574036933939,0.541467659305617,0.00021386772153322,0.000263921907140734,0.991891262129609,0.0594059405940594
