"","num.reads","ASVs","max.props","detected"
"ASV_3402",2,"ASV_3402",0.000146939975020204,1
"ASV_3399",2,"ASV_3399",0.000145243282498184,1
"ASV_3454",2,"ASV_3454",0.000111129632716564,1
"ASV_3460",2,"ASV_3460",8.78734622144113e-05,1
"ASV_3543",2,"ASV_3543",8.16326530612245e-05,1
"ASV_3462",2,"ASV_3462",0.000115114538966271,1
"ASV_3450",2,"ASV_3450",0.000120496445354862,1
"ASV_3655",2,"ASV_3655",9.09421607857403e-05,1
"ASV_3617",2,"ASV_3617",8.12347684809098e-05,1
"ASV_3418",2,"ASV_3418",0.000105730598435187,1
"ASV_3376",2,"ASV_3376",0.000160462130937099,1
"ASV_3482",2,"ASV_3482",0.00010660412557966,1
"ASV_3629",2,"ASV_3629",0.000131268049356787,1
"ASV_3537",2,"ASV_3537",8.65576040855189e-05,1
"ASV_3607",2,"ASV_3607",9.14829384319824e-05,1
"ASV_3437",2,"ASV_3437",0.000164690382081686,1
"ASV_3606",2,"ASV_3606",0.000125117297466375,1
"ASV_3382",2,"ASV_3382",0.000150364634238027,1
"ASV_3505",2,"ASV_3505",0.000150330727600722,1
"ASV_3525",2,"ASV_3525",0.000119674485399713,1
"ASV_3572",2,"ASV_3572",0.000102901831652603,1
"ASV_3387",2,"ASV_3387",0.000151080223598731,1
"ASV_3415",2,"ASV_3415",0.000167588402882521,1
"ASV_3435",2,"ASV_3435",0.000207189474774681,1
"ASV_3451",2,"ASV_3451",0.000111650756433875,1
"ASV_3479",2,"ASV_3479",7.07113562438128e-05,1
"ASV_3496",2,"ASV_3496",0.000129853265809635,1
"ASV_3512",2,"ASV_3512",0.000113090189426067,1
"ASV_3538",2,"ASV_3538",0.000150432493418578,1
"ASV_3542",2,"ASV_3542",0.000122182173620869,1
"ASV_3608",2,"ASV_3608",9.14829384319824e-05,1
"ASV_3614",2,"ASV_3614",0.000204269226840976,1
"ASV_3642",2,"ASV_3642",0.000117612466921494,1
"ASV_3645",2,"ASV_3645",0.000126462219411951,1
"ASV_3430",2,"ASV_3430",0.000111513799832729,1
"ASV_3461",2,"ASV_3461",8.7823299521363e-05,1
"ASV_3623",2,"ASV_3623",9.02567805406381e-05,1
"ASV_3658",2,"ASV_3658",0.000114364135407136,1
"ASV_3378",2,"ASV_3378",0.000137117784176608,1
"ASV_3404",2,"ASV_3404",8.26958858796775e-05,1
"ASV_3453",2,"ASV_3453",0.00010216069877918,1
"ASV_3591",2,"ASV_3591",0.000130191381330556,1
"ASV_3660",2,"ASV_3660",5.9708621925006e-05,1
"ASV_3635",2,"ASV_3635",0.000153362472203052,1
"ASV_3466",2,"ASV_3466",9.40556809631302e-05,1
"ASV_3534",2,"ASV_3534",9.22977525497254e-05,1
"ASV_3544",2,"ASV_3544",0.000107365256602963,1
"ASV_3598",2,"ASV_3598",0.000119904076738609,1
"ASV_3539",2,"ASV_3539",9.05633037493208e-05,1
"ASV_3578",2,"ASV_3578",0.000139014387989157,1
"ASV_3547",2,"ASV_3547",0.000145011600928074,1
"ASV_3638",2,"ASV_3638",8.72981230903536e-05,1
"ASV_3432",2,"ASV_3432",0.000120438395760568,1
"ASV_3587",2,"ASV_3587",0.000101066248926171,1
"ASV_3444",2,"ASV_3444",0.000102139829426485,1
"ASV_3484",2,"ASV_3484",0.000104335124419636,1
"ASV_3381",2,"ASV_3381",0.000150364634238027,1
"ASV_3586",2,"ASV_3586",0.000101066248926171,1
"ASV_3442",2,"ASV_3442",0.000142816338189089,1
"ASV_3476",2,"ASV_3476",0.000115673799884326,1
"ASV_3427",2,"ASV_3427",9.99800039992002e-05,1
"ASV_3380",2,"ASV_3380",0.000116720163408229,1
"ASV_3493",2,"ASV_3493",0.000167294019238812,1
"ASV_3573",2,"ASV_3573",0.000157282164202579,1
"ASV_3627",2,"ASV_3627",0.000259942812581232,1
"ASV_3649",2,"ASV_3649",0.000235543516664704,1
"ASV_3662",2,"ASV_3662",8.89679715302491e-05,1
"ASV_3421",2,"ASV_3421",8.95255147717099e-05,1
"ASV_3456",2,"ASV_3456",0.000122249388753056,1
"ASV_3458",2,"ASV_3458",0.000126350369574831,1
"ASV_3469",2,"ASV_3469",0.000146295077170653,1
"ASV_3471",2,"ASV_3471",0.000142277868677527,1
"ASV_3480",2,"ASV_3480",0.000169592130925125,1
"ASV_3491",2,"ASV_3491",9.9147332936744e-05,1
"ASV_3513",2,"ASV_3513",0.000220191566662997,1
"ASV_3530",2,"ASV_3530",0.000191149765841537,1
"ASV_3551",2,"ASV_3551",0.000150138878462578,1
"ASV_3595",2,"ASV_3595",0.000108277840939852,1
"ASV_3650",2,"ASV_3650",0.000235543516664704,1
"ASV_3652",2,"ASV_3652",8.15427895788315e-05,1
"ASV_3657",2,"ASV_3657",0.000127258844489692,1
"ASV_3585",2,"ASV_3585",0.00012929919834497,1
"ASV_3389",2,"ASV_3389",0.000101533150573662,1
"ASV_3405",2,"ASV_3405",8.26958858796775e-05,1
"ASV_3416",2,"ASV_3416",8.8519075860848e-05,1
"ASV_3424",2,"ASV_3424",0.000154261473197069,1
"ASV_3425",2,"ASV_3425",0.000189000189000189,1
"ASV_3636",2,"ASV_3636",0.000119602918311207,1
"ASV_3478",2,"ASV_3478",7.40685875120361e-05,1
"ASV_3503",2,"ASV_3503",0.000118532566822735,1
