"","OTU","rab.all","rab.win.Week 48","rab.win.Week 72","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"22","Bergeyella",2.00822193626425,1.81658052150895,2.24056106963818,0.387778682642701,6.50148282801415,0.0549890142362407,0.47550489910201,0.589338205513302,0.948253737923529,0.566616553640983,0.942796856207556,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Bergeyella",NA
"23","ASV_68",0.477828690984034,0.513011130686336,0.450422298789316,-0.0766016617394012,6.35808939970221,-0.00939831026888998,0.493200000022671,0.6381138684599,0.962564843270563,0.576877633942944,0.951955819329752,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","ASV_68",NA
"24","ASV_77",2.14942360885136,2.32427340600394,1.98971516398947,-0.482901835112705,7.57654584760852,-0.0604936205839343,0.46280000012469,0.496538118005003,0.946381919639826,0.417119873987781,0.93776224840966,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","ASV_77",NA
"25","Dolosigranulum",0.364524939827987,0.361850595161533,0.371965206050987,-0.00748840970262865,4.97141194721293,-0.00155701870071393,0.499100179967006,0.55704254902873,0.949555907978202,0.548429110414152,0.949303307961138,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum",NA
"26","Streptobacillus",1.92808767424455,2.00777850704968,1.86043734867291,0.308229496332189,6.9680094135559,0.0406870758539779,0.476504699138647,0.59038872442082,0.951254236322648,0.613743985846994,0.950314565649829,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus",NA
"27","Oribacterium",2.33143415337289,2.24373444196342,2.4194676945525,-0.0469563218537941,6.57278708409945,-0.00773937517296741,0.497100579893684,0.659239054432204,0.958456846834976,0.697618083916856,0.96031890769366,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Oribacterium",NA
"28","ASV_112",0.372567144625216,0.302612689463818,0.442671112170047,0.239951849606096,5.56284989408891,0.0356994483995716,0.481103779307203,0.464522658307157,0.931887673849183,0.497541196600727,0.934530118873193,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","ASV_112",NA
"29","Stomatobaculum",2.42880449475383,2.28756206062694,2.59721738065481,0.046324347619108,6.5898143638022,0.00562524091178207,0.496100779857024,0.672160907332134,0.961512715481799,0.707544165791035,0.966260669194658,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Stomatobaculum",NA
"30","Lachnoanaerobaculum",3.16529625224034,2.89917301920475,3.51624051781997,0.021461300780226,6.4621197016896,0.00289021230247944,0.497900419923013,0.653651042966402,0.959494999543595,0.723622286236237,0.967018771846495,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoanaerobaculum",NA
"31","ASV_120",0.209913619894404,0.092431268818558,0.339581100026699,0.31580852456404,4.74352703621552,0.0569830304787153,0.466000000113859,0.296786810445826,0.880233487106206,0.419386155507712,0.914951269294207,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","ASV_120",NA
"32","ASV_126",0.166040145823763,0.171788386332879,0.161940247118526,-0.0360139368500052,4.53640913533888,-0.00728511827880843,0.49570085984236,0.529711635799295,0.950603257796186,0.52117932945916,0.939384207098786,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","ASV_126","ASV_126",NA
"33","Mannheimia",0.706288737784449,0.680181455870343,0.731999522213552,0.060723001175222,6.30654406090054,0.00873376774220923,0.495600000014668,0.612939494031914,0.956769021303703,0.610573913979965,0.951656611899348,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia",NA
"34","TM7x",1.60411285794241,1.57787907431877,1.63065324482687,0.0588872596895893,6.13391199816409,0.0103936623319403,0.495300939827696,0.573598007743376,0.95262128107259,0.60825609436052,0.95020054718582,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7x",NA
"35","Tropheryma",0.36407576527851,0.312212632875954,0.42651038757724,0.213607517875984,5.19009786124744,0.0350129334814176,0.480800000064094,0.545236294723979,0.949472140984738,0.558546407002366,0.946546580096377,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Tropheryma",NA
"36","Solobacterium",2.05945879206433,1.78457788106618,2.31790846225278,0.363441508329296,5.79705927208339,0.055621066514047,0.47250549899211,0.471205760990962,0.943734132664128,0.494471388988616,0.941810075791538,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Solobacterium",NA
"37","Peptostreptococcus",2.95495337307486,3.48038219191448,2.54820356914493,-0.614673140673102,6.00629594155258,-0.0954185523879866,0.450709858194241,0.354016157106643,0.935048023987181,0.274709269400254,0.92254412339567,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus",NA
"38","Abiotrophia",0.815418359213798,0.856657751053508,0.77220244106516,-0.143849547647013,5.79530363240371,-0.0225457825936922,0.489102179600416,0.613150016725579,0.959258711732241,0.611708813968572,0.958919522735054,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",NA
"39","Oceanivirga",0.476404366079105,0.521944030325729,0.428976327229193,-0.248777998069702,5.30899058449065,-0.0402073036714165,0.477304539167959,0.512017306598775,0.938513594268849,0.487289092267912,0.937166953957402,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Oceanivirga",NA
"40","Corynebacterium",1.9707502532617,1.66086171372742,2.32768486195676,0.67105738887309,6.39563789738823,0.0985403826425577,0.457308538435634,0.361374423831369,0.931241062592402,0.347534097755684,0.920100378272963,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA
"41","ASV_157",0.662352119694286,0.461093892571176,0.867066879434118,0.492079871331607,5.78194501347742,0.0767689465126468,0.461907618603969,0.302977189544183,0.907884688683248,0.329687849345809,0.904445042167445,"Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","ASV_157","ASV_157",NA
"42","ASV_163",0.384282641180588,0.353470691967289,0.411119611193482,0.0527849096162081,4.82429935433323,0.0098219201738789,0.495200000016001,0.533957205327169,0.940628302781459,0.534359016689945,0.933823398585064,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","ASV_163","ASV_163",NA
"43","ASV_180",0.439749975534943,0.496436540457051,0.391120566570374,-0.166901683058422,5.51670366913938,-0.0277290536391876,0.484200000052719,0.556011207806795,0.949094146095535,0.563866932351422,0.944104842618507,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","ASV_180",NA
"44","ASV_182",0.22836988536625,0.312127598302488,0.145682106472236,-0.213324312808821,4.78387827165266,-0.0374223281484426,0.477400000075488,0.440623528795944,0.923363951168031,0.469369536135658,0.917968492338421,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","ASV_182",NA
"45","ASV_187",0.433955680050589,0.273396845166635,0.615306682462413,0.360189905545091,5.06442553975889,0.0659919599273174,0.465506898735757,0.380417555088669,0.904664998888782,0.352910158099604,0.896586612612984,"Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","ASV_187","ASV_187",NA
"46","Treponema",2.06835516912678,1.86951040066565,2.2635341841605,0.385708602072512,6.286814519103,0.0620732929327389,0.475200000082871,0.544613557185395,0.950380265945354,0.530819172428971,0.947755273249065,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema",NA
"47","Eikenella",0.37717923763314,0.327693685339047,0.434947526378654,0.242173149882826,5.12517080934423,0.0428772707603716,0.4768000000775,0.523611987571067,0.947169326083568,0.535059829271889,0.940774025969267,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Eikenella",NA
"48","ASV_203",0.227629156969682,0.264207793682179,0.189104576583993,-0.0495621744905277,4.78696413050863,-0.00720169221148857,0.496000000013334,0.537999183720257,0.953890074510005,0.505768628416222,0.944192085846263,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","ASV_203",NA
"49","ASV_205",0.960287001651886,0.853559278899056,1.04625384205354,0.35326907204107,5.44991241708028,0.0556553117239088,0.470505898918853,0.435276563782459,0.948492116357647,0.44822432667479,0.93877907339349,"Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","ASV_205","ASV_205",NA
"50","ASV_209",0.749222356408906,0.61034247359784,0.921649952096738,0.372377361061608,5.23161303223953,0.0665499477864143,0.466306738765048,0.478894831449839,0.940695015926759,0.465410769050126,0.93241659250675,"Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","ASV_209","ASV_209",NA
"51","F0058",0.61267872699283,0.468921894760149,0.764693378284323,0.288814444617931,4.718938132438,0.0513048026566808,0.47150569895548,0.427223820445856,0.925500334045072,0.406138426723477,0.920339526167869,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","F0058",NA
"52","ASV_214",0.217443818837819,0.228277536355082,0.202657055025471,-0.114051411187598,4.96066873256203,-0.0224364050242031,0.489800000034014,0.560087366744502,0.945459689038103,0.537845508396025,0.943614478437031,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","ASV_214",NA
"53","ASV_216",0.388408229210497,0.296991191475988,0.485025707177089,0.220528116466383,4.89091513506904,0.0391081261295735,0.479400000068783,0.4603543650337,0.932988174552888,0.4542951182577,0.925738904669476,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","ASV_216",NA
"54","Conchiformibius",0.559095322549908,0.509203575151518,0.611771782310815,0.104553462807042,5.51293685648453,0.0171496372853813,0.489800000034014,0.595524801766409,0.957628138227661,0.546425406770936,0.944642687273884,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Conchiformibius",NA
"55","Hydrogenophaga",0.26300288389233,0.235378943982107,0.287853390465727,0.0192472191693778,4.4970622212797,0.00393472165471541,0.49770045991568,0.510914952209813,0.938840855663128,0.527015516488921,0.938319734222886,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA
"56","Catonella",1.46574940437692,1.71726070766671,1.24242670611551,-0.555876156983733,5.95054771375658,-0.0858005381425289,0.4557088583771,0.38359132485814,0.934151884698705,0.375296744156061,0.930334769904966,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Catonella",NA
"57","Candidatus_Saccharimonas",0.755631991326805,0.801415429843479,0.721179116253838,-0.0284899053518242,4.84473385644766,-0.0055399581985101,0.496400000012001,0.536309307511796,0.950726904616587,0.577457251650442,0.95070976218586,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Candidatus_Saccharimonas",NA
"58","ASV_239",0.301130146159288,0.287593206986656,0.309665154580268,-0.075702096228996,4.85079221408084,-0.0149486478295986,0.490400000032012,0.551398429726523,0.93941037689551,0.535416833046333,0.932092172365038,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","ASV_239",NA
"59","ASV_242",0.204365161054061,0.253096142452185,0.154910822772549,-0.0962993273542461,4.50850519901507,-0.0173988283529857,0.490000000033347,0.51810818230901,0.927081673494312,0.489646324457012,0.927491856225771,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","ASV_242","ASV_242",NA
"60","Mogibacterium",0.851297211379374,0.815802008907593,0.880973303618561,0.0413956014263501,5.06142717551608,0.00881444792929657,0.495800000014001,0.617993303597386,0.954733190368553,0.618897836655654,0.953912851105198,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Mogibacterium",NA
"61","Atopobium",0.781079669820529,0.90423984406278,0.666780875712931,-0.248646097271602,5.41178045842484,-0.0416173419801104,0.480200000066103,0.557512586930753,0.948954701059853,0.534473022395416,0.943637275677787,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium",NA
"62","Selenomonas",0.947901509975968,1.01597124343568,0.875714386240531,-0.151502100596611,5.36203209964779,-0.0264601374445707,0.486400000045367,0.566223348934083,0.953256871375271,0.564170190712831,0.95052592245685,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Selenomonas",NA
"63","ASV_260",0.142818954126493,0.0989350559268107,0.182786971942882,0.0638344171180769,4.42830972950328,0.0111274660164352,0.493000000023338,0.522838988178377,0.940253789423577,0.503949262419376,0.936516760990459,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","ASV_260",NA
"64","Parvimonas",0.569568954827374,0.510073487208214,0.614552820925283,0.141661786376559,4.96642235307289,0.0228847025784256,0.485702859475792,0.502165071654505,0.94385927421712,0.573985080031106,0.951105005395987,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Parvimonas",NA
"65","Cardiobacterium",0.581772122363147,0.694200011976826,0.478499203691925,-0.249741897650372,4.7564849956618,-0.0463032547713096,0.476200000079513,0.464074297791872,0.927244149695766,0.463378963854675,0.921130376168168,"Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium",NA
"66","ASV_280",0.280011630249832,0.217709552454055,0.341412661467272,0.142380918437621,4.81353587543989,0.0236291507166044,0.486102779490452,0.510184995969915,0.944222265240592,0.510027473776928,0.936228149833963,"Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","ASV_280","ASV_280",NA
"67","ASV_283",0.225511005428375,0.193531319386418,0.251726028645332,0.116285089959232,4.53143213973882,0.0221353443645422,0.488102379563761,0.49839593219819,0.939706722478401,0.495929743527917,0.927145374272684,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","ASV_283",NA
"68","Comamonas",0.48349027236692,0.530518419074053,0.435713865186862,-0.137241338202966,4.88920255530101,-0.0246520341760507,0.487000000043362,0.546937345421771,0.941221290177988,0.543158037591427,0.940018133315588,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",NA
"69","Capnocytophaga",1.14406055420921,1.22400837004305,1.07480123065789,-0.094218184221166,5.37420351286546,-0.0143145051751064,0.492501499725051,0.606919262313222,0.953807684238768,0.62531848587916,0.952830934039782,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"70","ASV_286",0.164493252503849,0.15057549708964,0.179757431590423,0.0289186864649045,4.44012103113503,0.00633019871828984,0.496600000011333,0.538026279943964,0.949152949948066,0.555235641965301,0.943849657785107,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","ASV_286","ASV_286",NA
"71","Butyrivibrio",0.656030756398084,0.641600930624777,0.67757306871374,-0.0255662444193012,4.99011223125675,-0.00445400574146041,0.497100579893684,0.516316190928722,0.95058615535014,0.534057244885369,0.947312279743854,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Butyrivibrio",NA
"72","ASV_307",0.440356997928464,0.539292480540301,0.337984749174533,-0.250207577369132,4.87882193878871,-0.0518751904774318,0.478504299211928,0.463219841285823,0.929365857367554,0.483408979654843,0.935131246195456,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","ASV_307",NA
"73","Mycoplasma",0.733508303921544,0.697386395023958,0.769644774407903,0.105091563391057,5.09887141149552,0.0174088147725282,0.490800000030677,0.521879714255521,0.944721098546325,0.511796310712194,0.941090968357589,"Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Mycoplasma",NA
"74","Tannerella",0.819135178011506,0.741623491661727,0.903467724362367,0.13762938886872,5.06304737438742,0.0254238340046434,0.485902819483122,0.519499694028487,0.948359372956706,0.522120664000446,0.93903293896202,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella",NA
"75","ASV_329",0.160986153570756,0.11684168259662,0.204321926277787,0.0335133121151934,4.4605889313788,0.00791967450497214,0.497100579893684,0.529593106276818,0.94737742073918,0.504589926743878,0.935992603477967,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","ASV_329",NA
"76","ASV_331",0.258815716346209,0.286927630056586,0.232993627696914,-0.136209414382257,4.60850579336306,-0.0263283958781398,0.487102579527106,0.488141183265624,0.948235262352933,0.515089726648994,0.940925520772581,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","ASV_331",NA
"77","Filifactor",0.586670679471492,0.56328365870167,0.609104456216033,0.0928419069439794,5.01190351945315,0.0192456633762324,0.488800000037352,0.544673614170439,0.950827200035484,0.552497558142677,0.946386849286232,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Filifactor",NA
"78","Dialister",0.379654553672984,0.322266398752165,0.438158118058547,0.0749047505378178,4.90857330328754,0.0146327356761486,0.494301139791037,0.558014614327337,0.949009558025475,0.555309227273236,0.946685772656105,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister",NA
"79","ASV_339",0.11054257433316,0.0789250299021313,0.156361653764345,0.0533158887679841,4.4038425530954,0.0111350518871782,0.494501099798368,0.487817946849394,0.937892912515779,0.501458230937608,0.934760683257793,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","ASV_339",NA
"80","Peptococcus",0.893799112361135,1.06504625433653,0.748931101783977,-0.357809267875481,4.86349651512674,-0.065628224138151,0.464200000119948,0.35776850744906,0.924587467413714,0.360877411551108,0.911313444981844,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus",NA
"81","Hyphomicrobium",0.151796703457486,0.0992882687079506,0.206978659637992,0.188651345717339,4.4569282051912,0.0371604685690031,0.479904019263229,0.473650017814933,0.94330874983681,0.488538350787456,0.938958071790735,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"82","ASV_383",0.18741637210668,0.123548095172525,0.2502138167468,0.122818071571968,4.56006534896201,0.0240469788082678,0.486902619519775,0.450765460955438,0.919321736244725,0.488687917234759,0.923241011252035,"Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","ASV_383","ASV_383",NA
"83","ASV_409",0.184895861178093,0.171278090805451,0.196612141218809,0.0297966155394542,4.4433691880924,0.0070533443499254,0.496300739864356,0.522844723617939,0.943427154250327,0.492065175568912,0.937429941748323,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","ASV_409",NA
"84","F0332",0.221759292801762,0.240839087407967,0.200140033482373,-0.123203815338252,4.47318680722154,-0.0236900849253742,0.489702059622409,0.499029856249095,0.936268792594592,0.478196345143458,0.92510139710517,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","F0332",NA
"85","ASV_422",0.240724987814835,0.24698626457613,0.233237839961537,-0.00534955999370101,4.55232265182097,-0.00108901163345811,0.499200000002666,0.489703539231134,0.932715833009776,0.520139866231085,0.937773315788543,"Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","ASV_422",NA
"86","ASV_428",0.164572623434143,0.0905066556115157,0.239303734999901,0.185407126057847,4.57992236862315,0.0373016932077412,0.481800000060747,0.472676567198283,0.919823303239832,0.49849929008502,0.92383999572696,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","ASV_428",NA
"87","Peptoanaerobacter",0.335548216460234,0.425106562097931,0.237445025883222,-0.27471878420188,4.62001564491045,-0.0536142278009645,0.473705259036067,0.442132248080514,0.934415811145558,0.435099024730397,0.927376376805804,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptoanaerobacter",NA
"88","Delftia",0.169023540703057,0.133586746140941,0.199432783452622,0.0740879448384089,4.46160563150684,0.0134784915818711,0.492600000024672,0.51588653440761,0.923689232089269,0.55070391394855,0.93649714827823,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA
"89","Sphingopyxis",0.226854514938884,0.125282317205809,0.32127240080412,0.248490647918016,4.24355180027497,0.0503679655783749,0.474505099065374,0.468373485357967,0.924423291115281,0.450141069735086,0.924135244034705,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA
"90","Kingella",0.441629545593007,0.419431771763367,0.463301618085983,0.0668714156548607,4.92790034149242,0.0133924196986268,0.493200000022671,0.565242176086993,0.943760298858513,0.538920106251743,0.936178120737351,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Kingella",NA
