"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"24","ASV_77",16.607153546297,-1.75196689013207e-06,0.00144269134188591,0.446036660448304,0.997890980182643
"25","Dolosigranulum",1.44936540686251,-1.51349622528546e-07,0.00144269442152522,0.916633228809451,0.997890980182643
"26","Streptobacillus",19.141969460255,2.41878589914255e-06,0.00144269276834897,0.374893820749926,0.997890980182643
"27","Oribacterium",9.57476107145239,-7.16015431863435e-07,0.0014426901225105,0.755350442851402,0.997890980182643
"28","ASV_112",5.45060351232361,2.13462488679539e-07,0.00144269481788097,0.234487966436215,0.997890980182643
"29","Stomatobaculum",9.90160760581899,-2.95637579238309e-07,0.00144268973228766,0.866921130467111,0.997890980182643
"30","Lachnoanaerobaculum",9.82690674830562,1.98298436631629e-06,0.00144268884817882,0.843205222756685,0.997890980182643
"31","ASV_120",1.62430497765864,-1.08276376593124e-07,0.00144269503935502,0.152615939775408,0.997890980182643
"32","ASV_126",0.10498052262143,-3.59983684745753e-07,0.00144269506137929,0.980811707381793,0.997890980182643
"33","Mannheimia",4.9353534323998,4.74459095003477e-07,0.00144269406475453,0.486727550909013,0.997890980182643
"34","TM7x",4.77302248357887,7.60855536746805e-07,0.00144269135633905,0.800172020469261,0.997890980182643
"35","Tropheryma",3.58016599648853,7.24684908382063e-07,0.00144269499194865,0.392916819776611,0.997890980182643
"36","Solobacterium",4.11978188558185,4.56240136443238e-07,0.00144268955697398,0.868180582694119,0.997890980182643
"37","Peptostreptococcus",6.44108761786842,-4.8529174817186e-06,0.00144269187001728,0.218576206281604,0.997890980182643
"38","Abiotrophia",3.12518311581222,7.9978603455379e-07,0.00144269343088697,0.941250691061693,0.997890980182643
"39","Oceanivirga",1.57075144206142,5.76853795733683e-07,0.00144269459414026,0.727531974928052,0.997890980182643
"40","Corynebacterium",9.7048538685213,3.039403667337e-06,0.00144269319202704,0.253574262462574,0.997890980182643
"41","ASV_157",3.8681402680775,4.43893900263281e-07,0.00144269404930784,0.186018374663544,0.997890980182643
"42","ASV_163",0.698831356758255,6.02338870047381e-07,0.00144269472789839,0.849676737713931,0.997890980182643
"43","ASV_180",2.91542918587261,1.33252822376251e-07,0.00144269437910461,0.75602008817744,0.997890980182643
"44","ASV_182",0.460123932194246,-2.32860540756702e-07,0.001442694940006,0.371933637394642,0.997890980182643
"45","ASV_187",1.34325139731377,2.99242553195998e-08,0.0014426943291716,0.352128804665163,0.997890980182643
"46","Treponema",9.3536076246682,-2.89350501823385e-07,0.0014426910124064,0.616511913859452,0.997890980182643
"47","Eikenella",1.67495224232063,1.13901036360086e-07,0.00144269465662977,0.401458640407548,0.997890980182643
"48","ASV_203",0.785649788230529,1.06643535789827e-07,0.00144269486903748,0.652233216031821,0.997890980182643
"49","ASV_205",2.42091085153363,6.95293403968641e-07,0.00144269301621673,0.660063472460743,0.997890980182643
"50","ASV_209",1.26577421448426,-1.13543920307113e-07,0.0014426935377192,0.867361837918791,0.997890980182643
"51","F0058",0.624995397038329,1.10179946851908e-06,0.00144269431572799,0.435525079519307,0.997890980182643
"52","ASV_214",2.22014492495315,-4.59368617350092e-07,0.00144269500735986,0.456173839451026,0.997890980182643
"53","ASV_216",1.01671318449794,-2.72012078255304e-07,0.00144269452905963,0.755629510979835,0.997890980182643
"54","Conchiformibius",2.85980878435596,3.08250891989132e-07,0.00144269412957655,0.936828249433734,0.997890980182643
"55","Hydrogenophaga",0.141080433537407,1.13179067081474e-07,0.0014426948926744,0.970362216672594,0.997890980182643
"56","Catonella",4.28045703136364,6.991576528848e-07,0.00144269168745407,0.709206768738212,0.997890980182643
"57","Candidatus_Saccharimonas",0.797773882816743,-1.17028772492982e-06,0.0014426936000153,0.611458375158149,0.997890980182643
"58","ASV_239",0.441689829234666,-1.56014542011285e-07,0.00144269470685417,0.940147728524905,0.997890980182643
