feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_112	visit	Week 72	0.275234373282806	0.185479473244708	232	19	0.139202560388497	0.368564527742098
Stomatobaculum	visit	Week 72	0.473730218766288	0.321283773717731	232	92	0.141716735375962	0.368564527742098
ASV_214	visit	Week 72	0.133320127157693	0.0905509602970501	232	5	0.142301122282557	0.368564527742098
Sphingopyxis	visit	Week 72	0.0979910411734535	0.0668415461873131	232	7	0.144008656534992	0.368564527742098
Carnobacterium	visit	Week 72	-0.0963131535250107	0.0652800140510305	232	2	0.1414766815634	0.368564527742098
Brevundimonas	visit	Week 72	-0.0525204462973656	0.0346077860869484	232	2	0.130490952110851	0.368564527742098
Leuconostoc	visit	Week 72	-0.0497878566015009	0.0335203802400202	232	2	0.138833400470626	0.368564527742098
ASV_639	visit	Week 72	0.0777880654808197	0.0536621690442069	232	6	0.148535448617716	0.373814212354585
Tropheryma	visit	Week 72	-0.15134026869195	0.105632899603668	232	7	0.15330131735177	0.374197653609451
ASV_653	visit	Week 72	-0.0718267131682872	0.0501757989504817	232	2	0.153644069693947	0.374197653609451
ASV_421	visit	Week 72	0.0922129494504554	0.0678453255031661	232	2	0.175425706747495	0.413909443309408
Peptoanaerobacter	visit	Week 72	0.071750949461887	0.0527912372933628	232	6	0.175431817031802	0.413909443309408
ASV_964	visit	Week 72	0.0619302904239845	0.0459828627840052	232	2	0.179366226025136	0.416681540458393
Haemophilus	visit	Week 72	0.972545076695908	0.735721838933359	232	224	0.187517214924772	0.418292429257279
Mannheimia	visit	Week 72	0.275694113923307	0.208250469008115	232	39	0.186864346266827	0.418292429257279
Eikenella	visit	Week 72	-0.219543261295543	0.167001185313649	232	19	0.189946681834306	0.418292429257279
ASV_821	visit	Week 72	0.0501689502998369	0.0382655401536033	232	2	0.19114024913081	0.418292429257279
Conchiformibius	visit	Week 72	0.284008953600724	0.219246120958881	232	34	0.1964848090597	0.423845802400209
Escherichia.Shigella	visit	Week 72	0.0739209223806757	0.0579311489111414	232	2	0.203237857815134	0.426234951806739
ASV_1135	visit	Week 72	0.0482531040567386	0.037727540058239	232	2	0.202189875210134	0.426234951806739
Gemella	visit	Week 72	-0.185860415349473	0.148101575259155	232	225	0.210769716541191	0.430084151320539
ASV_182	visit	Week 72	-0.1664313638596	0.132057310655515	232	16	0.208839566814885	0.430084151320539
ASV_52	visit	Week 72	0.360554687137211	0.298097317396501	232	97	0.227704865513849	0.440813265289631
ASV_409	visit	Week 72	-0.109249858943564	0.0891487402486987	232	12	0.221648412866479	0.440813265289631
Rodentibacter	visit	Week 72	0.131930625702784	0.108933493373983	232	6	0.227095548554785	0.440813265289631
Prevotellaceae_YAB2003_group	visit	Week 72	-0.126514393636133	0.103460193254249	232	3	0.222644812438779	0.440813265289631
Amnipila	visit	Week 72	0.0617028792481138	0.0516043482972277	232	4	0.233048271510352	0.445446696178015
Abiotrophia	visit	Week 72	-0.272535657005611	0.238994305371185	232	62	0.2553291929948	0.481304620203906
Desulfobulbus	visit	Week 72	0.0375382295601101	0.0331170141087845	232	2	0.258183273089513	0.481304620203906
Sneathia	visit	Week 72	0.0426465049364444	0.037948139217248	232	2	0.262265143572857	0.482951666823187
Bergeyella	visit	Week 72	0.324174274202772	0.299095700717492	232	91	0.279567061018582	0.490867746672162
Dolosigranulum	visit	Week 72	0.170761357220536	0.155761342266909	232	14	0.27409350495732	0.490867746672162
Butyrivibrio	visit	Week 72	0.143912421156974	0.132522626163294	232	39	0.278639709160615	0.490867746672162
Peptococcus	visit	Week 72	0.0916140969331276	0.0843575271273382	232	22	0.278606348872225	0.490867746672162
Bulleidia	visit	Week 72	0.0589814173187835	0.0555619854007868	232	6	0.289556741545203	0.502563999693399
ASV_860	visit	Week 72	0.0510076099042166	0.0486337373562336	232	4	0.295365837391484	0.506820925524023
ASV_817	visit	Week 72	0.0466693011502871	0.0453170749211944	232	4	0.304167237535156	0.516059020986613
ASV_525	visit	Week 72	-0.061991241889332	0.061091139913861	232	4	0.311299017020177	0.522290573000519
ASV_329	visit	Week 72	0.100447812284936	0.100700959888114	232	7	0.319576854635298	0.530286868680549
Leptotrichia	visit	Week 72	0.945253992733714	0.956589421061677	232	50	0.324117497032779	0.531975457086409
ASV_68	visit	Week 72	0.229944789422414	0.245157702978282	232	40	0.349255829634873	0.567071293278127
ASV_682	visit	Week 72	-0.039284843363914	0.0443171654890351	232	7	0.376302313805962	0.604485631752131
Lentimicrobium	visit	Week 72	0.0522018302033215	0.0613967968403838	232	6	0.39607753434802	0.629554817753169
Johnsonella	visit	Week 72	0.0848742785261478	0.101028243464149	232	12	0.401722257358827	0.631875633970655
Cardiobacterium	visit	Week 72	-0.128302642932535	0.159996562192831	232	44	0.423433483280775	0.659159339952546
Capnocytophaga	visit	Week 72	-0.200051120958018	0.251845390509994	232	29	0.427815772704294	0.659185527330086
Porphyromonas	visit	Week 72	0.444583730354524	0.581523602078158	232	169	0.445343834375817	0.677343135591096
