"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"80","ASV_331",1.57413578493791,-6.66186725175943e-06,0.00144270134975734,0.14809798790796,0.340625372188308
"81","Filifactor",0.429554376785832,1.1081930176117e-06,0.00144269509464236,0.254984154528153,NA
"82","Dialister",0.690934654570549,5.98039068850351e-07,0.00144269453604322,0.304760342268514,NA
"83","ASV_339",0.211969495833238,-4.77575791088415e-07,0.00144269505575683,0.732560071719689,NA
"84","Peptococcus",0.798893715459856,3.05263949730831e-06,0.00144269512934298,0.0182146219428526,0.0961330562007573
"85","Staphylococcus",0.0776641552775622,-5.39714057042895e-08,0.00144269486645988,0.967189855069128,NA
"86","ASV_372",0,1.51697906344111e-07,0.00144269489171796,1,NA
"87","Hyphomicrobium",0.156570751908976,-9.82961704256838e-08,0.00144269473102175,0.944679138658717,NA
"88","ASV_383",0.0245531155785443,-2.84322320103894e-07,0.00144269499286349,0.920685284290377,NA
"89","Psychrobacter",0.0758348942596298,-3.54528545541145e-07,0.0014426950610158,0.882448187298052,NA
"90","ASV_409",0.475983065755659,-4.29304773930119e-07,0.00144269473116992,0.468806387307945,NA
"91","F0332",0.511420757016769,-1.83787902130879e-07,0.00144269437773682,0.702096777478739,NA
"92","ASV_422",0.321102629571328,5.60762131265149e-07,0.00144269505754427,0.351328968275269,NA
"93","ASV_426",0.0261285871601703,3.83584764645512e-07,0.00144269505671101,0.989052460019666,NA
"94","Peptoanaerobacter",0.342080376643498,9.94658432753769e-07,0.0014426951127705,0.183082398760296,NA
"95","Delftia",0.118532416245876,4.74754060169388e-08,0.0014426948422903,0.874404595707832,NA
"96","Sphingopyxis",0.0769692450480964,5.66376549776132e-08,0.00144269488116599,0.964517399116466,NA
"97","Lentimicrobium",0.30172277694186,8.94712816087444e-07,0.0014426950940907,0.265984744526684,NA
"98","ASV_461",0.0707785219159072,2.75177511081181e-07,0.00144269498353703,0.784389147999391,NA
"99","ASV_472",0.300455582862014,1.22539182456668e-07,0.00144269480354922,0.983980541751522,NA
"100","ASV_485",0.113835780989264,3.52684443758948e-07,0.00144269505249576,0.652433109645896,NA
"101","Amnipila",0.289302682661173,7.15654930710603e-07,0.0014426950789481,0.289167821065529,NA
"102","Rodentibacter",0.0987902417453882,-3.43348480313112e-07,0.00144269505076179,0.835769324048246,NA
"103","Bulleidia",0.217913699604906,-4.31897196608014e-08,0.00144269477631796,0.604264207471621,NA
"104","Shuttleworthia",0.339498594696251,-4.72946799930357e-07,0.00144269497930793,0.39948278887263,NA
"105","ASV_508",0.0850298697627306,2.97152056820996e-07,0.0014426950455157,0.692445326332093,NA
"106","Rikenellaceae_RC9_gut_group",0.0320579904553503,3.56384220693875e-07,0.00144269505434318,0.805965809781863,NA
"107","ASV_525",0.0582729890776478,8.74181337706632e-08,0.00144269487185404,0.897464024969844,NA
"108","Sneathia",0.0302021426646254,-3.22011826991788e-07,0.00144269502858719,0.811146973020696,NA
"109","Alysiella",0.486653373892675,-4.14074806875853e-08,0.00144269482549377,0.508915872932976,NA
"110","ASV_540",0.295461358219885,-7.72114057730546e-07,0.00144269500122844,0.4727689221234,NA
"111","ASV_543",0,1.22639906938029e-07,0.00144269488107364,1,NA
"112","Centipeda",0.396419253678146,2.1502816451031e-07,0.00144269460743794,0.442823664552489,NA
