"Estimate","Std..Error","t.value","Pr...t.."
"phi.(Intercept)",-3.60080305857923,0.518265679898828,-6.94779376338822,2.29958762432055e-11
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.88847892170473,0.835299950519333,-9.44388769184076,1.0369806006949e-18
"mu.trial_armPlacebo",0.220592056743687,0.605752428469794,0.364162067498317,0.715992668080242
"phi.(Intercept)",-2.50906293180811,0.827438192589128,-3.03232670945129,0.00263794746164901
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-10.1019083566792,0.550738550617613,-18.3424754728912,5.69208161025959e-51
"mu.trial_armPlacebo",1.77929312624121,0.488333765828986,3.64360044450483,0.000316538433471985
"phi.(Intercept)",-5.19757003125338,0.41536057505762,-12.5133928046309,3.27867678410012e-29
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.76834147529792,0.477036586675087,-20.4771326731616,5.57284664919406e-59
"mu.trial_armPlacebo",1.12229830162825,0.412829312509009,2.71855284404922,0.0069371773356601
"phi.(Intercept)",-5.38244612659738,0.419563610556659,-12.8286772045273,2.38422073250543e-30
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.35772513573217,0.239612533810938,-30.706762366353,9.56682695827361e-95
"mu.trial_armPlacebo",-1.44266337376754,0.292336068847777,-4.93494825819373,1.32954446564471e-06
"phi.(Intercept)",-5.02967797801452,0.272392329087432,-18.464829736083,1.96688028461234e-51
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.39736745822322,0.979314607200059,-9.59586162519424,3.37030081899395e-19
"mu.trial_armPlacebo",1.57385199480014,0.781842823703055,2.01300305775766,0.0450044071588736
"phi.(Intercept)",-3.1898685717587,0.804616369762756,-3.96445895414636,9.19583215841163e-05
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.64838906118964,0.619725501953973,-13.9551931200533,1.78057850840237e-34
"mu.trial_armPlacebo",0.148189691277603,0.485956832504445,0.304944145993147,0.760619440235652
"phi.(Intercept)",-3.98732439179378,0.622872704988577,-6.40150765936501,5.89304062836088e-10
"Estimate","Std..Error","t.value","Pr...t.."
